#G      ( 1 ,     ):///__/
#W           I ,      (  ), :  - //3/_3 - _16 - 1 - 16000 ///_ 
127069,100
122641,97
123133,96
123134,96
126826,96
126716,92
126493,92
127024,92
125590,92
123500,92
121253,92
121184,92
120589,91
125417,91
120352,91
125326,90
122600,90
126326,90
124565,90
122721,89
126941,89
120201,89
125284,89
120094,89
125215,89
123501,88
125991,88
125779,88
126078,88
123988,88
123978,87
120082,87
125634,87
122213,86
123869,86
122227,86
121128,86
122862,86
123811,86
123796,86
124603,85
123306,85
122986,85
122800,85
122827,85
120639,85
120640,85
125132,85
124314,84
126883,84
122828,84
123093,84
120872,84
122290,84
122760,84
125671,84
122192,84
120622,83
126990,83
125041,83
124345,83
124346,83
123797,83
122127,83
125300,83
122473,83
124313,83
120604,82
125177,82
123598,82
123964,82
126430,82
126431,82
121874,82
122091,82
122032,81
124709,81
126204,81
122060,81
124270,81
122440,81
122441,81
124080,81
125276,81
125453,81
123272,81
121789,81
121853,80
124234,80
121452,80
120830,80
121474,80
125063,80
123657,80
125196,80
124488,80
120433,80
120257,80
123944,80
121842,79
121097,79
120819,79
120736,79
120110,79
120109,79
126535,79
123177,79
122875,79
121788,79
123164,79
120386,79
125435,79
125434,79
120460,79
123544,79
121751,79
120654,78
124592,78
121738,78
121055,78
122331,78
122382,78
121338,78
124147,78
121574,78
125869,78
126357,78
125082,78
125231,77
120718,77
123908,77
125246,77
124911,77
120058,77
125105,77
122788,77
122019,77
126015,77
125885,77
126858,77
124401,76
126568,76
123594,76
122543,76
123398,76
123396,76
127043,76
124780,76
126047,76
121012,76
125259,76
123013,76
125910,76
122662,75
125213,75
122264,75
122005,75
122006,75
125797,75
125164,75
122046,75
124402,75
122499,75
122463,75
120522,75
125358,75
126485,75
126022,75
123335,75
125243,74
123959,74
125130,74
120656,74
125044,74
123241,74
123625,74
125197,74
122401,74
122594,74
125978,74
126269,74
123731,74
125377,74
124415,74
120686,74
124111,74
124741,74
120668,73
121714,73
121720,73
124980,73
126911,73
124033,73
122743,73
125416,73
121453,73
121951,73
123975,72
123595,72
122193,72
120547,72
121509,72
121145,72
120633,72
124113,72
123432,72
126016,72
122669,72
123305,72
125604,72
126021,72
122829,72
126230,72
123674,72
124935,72
125843,72
125477,72
123464,72
124782,72
124050,71
121787,71
121209,71
124830,71
121310,71
120350,71
126534,71
126112,71
125571,71
123842,71
124175,71
124588,71
121573,71
125042,71
124801,71
122164,71
120779,71
122500,71
125635,71
123055,71
124953,71
120829,71
124952,71
122695,71
121750,71
121991,70
124130,70
120081,70
123129,70
121053,70
121054,70
124548,70
125406,70
124400,70
126610,70
120414,70
124852,70
126618,70
126173,70
125176,70
126986,70
125376,70
122878,70
122879,70
125275,70
123176,70
126046,70
124742,70
123329,70
121151,70
123244,70
122935,70
122926,70
125429,70
123163,70
121666,69
125166,69
123909,69
124294,69
124424,69
124512,69
122439,69
121911,69
125883,69
122472,69
121629,69
120429,69
121876,69
121602,69
124832,69
121958,69
120737,69
121011,69
125748,69
125549,69
123683,69
126653,69
126727,69
126233,69
120384,69
124889,68
126492,68
121362,68
123167,68
125570,68
123210,68
124761,68
124604,68
124605,68
122200,68
123676,68
123016,68
126137,68
125107,68
123047,68
126776,68
121297,68
121386,67
125464,67
124648,67
124762,67
122405,67
123331,67
121069,67
123397,67
123399,67
125324,67
124203,67
126294,67
124708,67
124712,67
124148,67
122859,67
122482,67
121931,67
123523,67
120013,67
122311,67
125589,67
125494,67
120490,67
126379,67
126359,67
125299,67
122383,66
122985,66
120909,66
127023,66
123963,66
121475,66
123498,66
124854,66
122593,66
121649,66
124084,66
127068_,66
127068,66
120845,66
120777,66
125525,66
126620,66
123627,66
121678,65
123057,65
124979,65
127042,65
120000,65
125949,65
121974,65
122592,65
120846,65
126565,65
120817,65
125844,65
122936,65
126321,65
124684,64
123087,64
122874,64
124998,64
126980,64
124251,64
124683,64
125233,64
125851,64
124452,64
125283,64
126725,64
125492,64
123355,64
125867,64
126989,64
120217,63
125904,63
123356,63
126778,63
124799,63
120457,63
124052,63
125507,63
120548,63
126886,63
125522,63
125633,63
121183,63
125086,63
123819,63
124912,63
121704,63
122988,63
124890,62
120991,62
126358,62
124888,62
124673,62
126987,62
122975,62
124277,62
124357,62
126484,62
126050,62
125849,62
122640,62
123730,62
120216,62
125478,62
125038,62
123062,62
122637,62
122639,62
125870,62
124489,62
122504,62
122976,62
124209,62
126720,62
124511,61
120659,61
126291,61
126268,61
126909,61
126979,61
122549,61
125715,61
120974,61
125407,61
120212,61
120214,61
121512,61
120324,61
123705,61
121254,61
124108,61
123328,61
122981,61
123631,61
125946,61
123789,61
120039,60
125037,60
125509,60
126684,60
122900,60
120127,60
126758,60
121242,60
122502,60
124674,60
125975,60
125842,60
125632,60
122266,60
122267,60
126666,60
125360,60
125043,60
126657,60
126314,60
124804,60
120866,60
121600,60
121599,60
125987,60
123790,60
123785,60
126755,60
123856,60
123857,60
121742,60
124937,59
122194,59
120079,59
126079,59
126111,59
124295,59
122189,59
126486,58
120270,58
122478,58
125419,58
125418,58
121098,58
124646,58
124856,58
120215,58
120213,58
121010,58
125263,58
126429,58
123357,58
125750,58
123505,58
123259,58
125605,58
126012,58
123033,58
125909,58
122901,58
126687,58
126133,57
126203,57
123433,57
123435,57
126356,57
121238,57
126229,57
120690,57
120041,57
125713,57
125473,57
125124,57
123465,57
122402,57
122880,57
121296,56
125593,56
123048,56
126857,56
126141,56
126683,56
124571,56
124547,56
125886,56
125262,56
122092,56
126378,56
126377,56
120307,56
122385,56
120635,56
125670,55
121715,55
122061,55
120308,55
125747,55
120624,55
126825,55
125430,55
125550,55
122978,55
124129,55
123243,55
125047,55
126613,55
126076,55
123967,54
124996,54
122241,54
120687,54
121269,54
122085,54
124206,54
120952,53
121361,53
123017,53
120521,53
120527,53
126650,53
124169,53
125854,53
126139,53
126138,53
126381,53
122718,53
124564,53
126232,53
126167,52
126713,52
124081,52
120719,52
124713,52
126617,52
125301,52
120820,52
120256,52
126931,52
126940,52
121491,52
125643,52
125001,51
122713,51
120377,51
122062,51
123249,51
124237,51
122162,51
125408,51
125083,51
121537,51
126827,51
122121,51
125228,51
121304,51
120780,51
121932,51
120571,51
125778,51
120658,51
125554,51
125533,50
125784,50
121339,50
122744,50
126082,50
126113,50
125796,50
124549,50
122403,50
124855,50
121667,50
124593,50
124981,50
120221,50
123273,50
121575,50
125716,50
121387,50
121845,50
121846,50
120670,50
122275,50
122291,50
120523,49
126174,49
124763,49
122720,49
125304,49
126143,49
125737,49
120491,49
125410,49
121644,49
122687,49
120128,49
121322,49
120419,49
125064,49
126860,48
125198,48
123763,48
124982,48
125895,48
123888,48
120323,48
124783,48
125953,48
121669,48
123793,48
121367,48
126270,48
124007,48
120614,48
120492,48
120158,47
123795,47
120001,47
122034,47
122035,47
120040,47
123307,47
124606,47
125436,47
126299,47
120448,47
121454,47
121298,47
126882,47
123660,47
120130,47
123250,47
120738,47
120758,47
120928,47
125302,47
125303,47
125133,47
126960,47
120942,47
125555,47
124650,46
120941,46
120634,46
121074,46
124835,46
121858,46
124453,46
124913,46
124249,46
122796,46
121976,46
124686,46
120438,46
124360,46
124361,46
125084,46
120434,46
123135,46
122610,45
120546,45
120520,45
126614,45
123913,45
126717,45
125972,45
125847,45
123658,45
126885,45
122666,45
126205,45
120570,45
126437,45
122824,45
126779,45
125983,45
121007,45
121506,45
124675,45
121690,44
120536,44
120935,44
120740,44
120255,44
124743,44
120669,44
121015,44
120929,44
123599,44
126685,44
120936,44
124082,44
120218,44
121450,44
125482,44
124114,44
121867,44
120712,44
123476,44
122855,44
124053,44
123042,43
120679,43
125613,43
125612,43
125872,43
125591,43
123507,43
120309,43
120083,43
126942,43
124553,43
127025,43
124999,43
123860,43
124833,43
120160,43
121586,43
122209,43
123989,43
120627,43
120284,43
126993,43
125471,43
120003,42
126759,42
125236,42
124941,42
120330,42
123653,42
125551,42
125637,42
122512,42
125187,42
120417,42
123216,42
125931,42
120500,42
123960,42
126207,42
122285,42
120926,42
127091,42
121479,42
121478,42
121776,41
126654,41
121239,41
120930,41
122033,41
126992,41
120156,41
120625,41
121383,41
125644,41
125045,41
123974,41
124802,41
124714,41
120381,41
122992,41
121684,41
124340,41
122983,41
125526,40
126177,40
120797,40
125992,40
123812,40
121798,40
125199,40
125171,40
126382,40
120002,40
123165,40
125216,40
122324,40
122150,40
126494,40
123140,40
120673,40
122831,40
125752,40
125495,40
120603,40
121802,40
123681,40
125512,40
122346,40
126496,39
126490,39
120297,39
120090,39
125781,39
122208,39
121388,39
125438,39
121122,39
122550,39
121376,39
120462,39
121679,39
120856,39
123245,39
122752,39
122025,39
124938,39
120590,39
121129,39
121130,39
124456,39
121076,39
126327,39
121938,39
123628,39
121481,39
124239,39
125247,39
121840,39
122939,39
123384,39
121071,39
122873,39
121434,39
126912,39
120824,39
120613,39
125479,39
121736,38
121514,38
121429,38
123389,38
125212,38
122021,38
126569,38
123290,38
125046,38
121799,38
122533,38
125912,38
123212,38
120272,38
123843,38
122117,38
122642,38
125528,38
126048,38
125331,38
122697,38
124589,38
125950,38
120387,38
123253,38
122444,37
123601,37
121944,37
121913,37
124048,37
125162,37
121101,37
121962,37
126664,37
122312,37
122431,37
121949,37
125592,37
120617,37
126867,37
123136,37
120874,37
121456,37
120341,37
122536,37
120588,37
125234,37
123323,37
123207,36
126435,36
120990,36
120948,36
125572,36
121775,36
121774,36
123310,36
121061,36
122510,36
122513,36
122515,36
121070,36
125510,36
125930,36
123169,36
122446,36
122214,36
120310,36
121964,36
126780,36
121274,36
126536,36
124397,36
124416,36
127071,36
121106,36
121108,36
126497,36
121572,35
122595,35
125994,35
124773,35
121276,35
123545,35
122124,35
124986,35
123791,35
121587,35
125135,35
126300,35
120782,35
121975,35
121583,35
122994,35
123431,35
126051,35
125979,35
120574,35
124201,35
123094,35
120933,35
123463,35
126498,35
122507,35
126621,35
122277,35
126656,35
126081,35
125248,35
123633,35
122750,35
124954,35
124491,35
121630,34
120111,34
121753,34
126132,34
122216,34
121311,34
124857,34
124404,34
125168,34
125191,34
125606,34
120540,34
125378,34
120340,34
120949,34
122597,34
124132,34
121924,34
127093,34
122722,34
122387,34
125799,34
122716,34
123677,34
122789,34
126194,34
126580,34
126661,34
126329,34
122195,34
122197,34
125828,34
123153,34
121461,34
120332,34
126296,34
123035,34
120931,34
120932,34
127094,33
122118,33
120112,33
125798,33
124204,33
125454,33
125852,33
120537,33
121355,33
120975,33
122007,33
122527,33
120411,33
122611,33
121741,33
126328,33
126115,33
122973,33
120683,33
126273,33
123358,33
121430,33
122876,33
120269,33
123966,33
124766,33
121340,33
120821,33
122933,33
127075,33
124652,33
126538,33
125050,33
125178,33
123958,32
126383,32
121153,32
123746,32
120461,32
125481,32
120550,32
122196,32
122149,32
126631,32
121135,32
122840,32
122781,32
125444,32
120223,32
121256,32
123845,32
123360,32
123526,32
120584,32
121540,32
120601,32
120681,32
121547,32
122430,32
120278,32
124231,32
120121,32
121463,32
124609,32
122545,32
125108,32
123379,32
121912,31
122663,31
124608,31
122574,31
124498,31
125636,31
120947,31
122534,31
121661,31
121495,31
124343,31
120771,31
127095,31
120131,31
127076,31
123680,31
120682,31
123685,31
121878,31
126868,31
124358,31
124676,31
120992,31
122732,31
125200,31
123141,31
121598,31
121341,31
123706,31
127028,30
126997,30
120884,30
126945,30
122161,30
126688,30
121193,30
121937,30
121300,30
123361,30
120883,30
121365,30
123870,30
125440,30
121595,30
126659,30
126781,30
121879,30
126234,30
123097,30
123910,30
124116,30
121152,30
126996,30
120088,30
120343,30
123340,30
125480,30
120345,30
120636,29
120333,29
121898,29
126616,29
120070,29
121131,29
125984,29
121191,29
124654,29
122748,29
126338,29
120508,29
122406,29
125459,29
121113,29
123019,29
123063,29
120553,29
123815,29
123816,29
121466,29
120585,29
121739,29
121968,29
126206,29
120093,29
121057,29
125995,29
122566,29
121175,29
121735,29
122242,29
121579,29
121192,29
121625,28
122349,28
120334,28
126831,28
126829,28
124378,28
122008,28
122202,28
122314,28
122093,28
124149,28
120436,28
126575,28
120823,28
123280,28
125672,28
121317,28
124342,28
120466,28
120276,28
120092,28
121668,28
122675,28
120248,28
120615,28
122646,28
124009,27
124784,27
125051,27
120573,27
123119,27
120420,27
122119,27
120934,27
123912,27
125899,27
120009,27
123036,27
124765,27
123968,27
127027,27
122024,27
121023,27
121154,27
121655,27
121194,27
125421,27
121692,27
125529,27
127045,27
126849,27
121663,27
125265,27
125362,27
125359,27
125327,27
124785,27
121987,27
122835,27
121631,27
120277,27
120599,27
124271,27
120525,27
122993,27
125887,26
120723,26
122073,26
123275,26
121255,26
123217,26
120096,26
123502,26
124418,26
120721,26
121379,26
126830,26
123907,26
121897,26
125914,26
122447,26
125753,26
121654,26
123708,26
124297,26
120031,26
123873,26
123872,26
122608,26
124834,26
125295,26
121132,26
125237,26
123849,26
122036,26
120783,26
122063,26
121058,26
125611,26
124010,26
120944,26
125049,25
124574,25
123957,25
120339,25
122751,25
125575,25
125645,25
122509,25
123655,25
126914,25
121717,25
121716,25
123528,25
120388,25
123547,25
125497,25
122245,25
121843,25
121844,25
120524,25
125513,25
124572,25
126489,25
